,count
AAA,3
ACAd,23
ACAv,19
ACB,24
AD,4
ADP,1
AHN,5
AId,11
AIp,8
AIv,8
AM,11
AMB,2
ANcr1,13
ANcr2,17
AOB,2
AON,16
AP,1
APN,58
APr,9
ARH,0
AT,4
AUDd,9
AUDp,6
AUDpo,5
AUDv,9
AV,11
AVP,3
AVPV,0
Acs5,0
B,0
BA,0
BLA,15
BMA,15
BST,17
CA1,175
CA2,36
CA3,98
CEA,16
CENT2,16
CENT3,30
CL,12
CLA,6
CLI,6
CM,207
COAa,4
COAp,20
COPY,15
CP,80
CS,11
CU,3
CUL4 5,33
CUN,11
DCO,16
DEC,8
DG,181
DMH,4
DMX,3
DN,10
DP,17
DR,2
DT,3
DTN,3
ECT,9
ECU,5
ENTl,20
ENTm,18
EPd,15
EPv,12
EW,2
Eth,33
FC,6
FL,5
FN,5
FOTU,6
FRP,11
FS,5
GPe,13
GPi,8
GR,1
GRN,17
GU,5
HATA,8
I5,4
IA,2
IAD,5
IAM,2
IC,27
ICB,8
IF,1
IG,5
IGL,4
III,3
ILA,11
IMD,2
IO,4
IP,29
IPN,3
IRN,33
ISN,1
IV,0
IntG,2
LA,8
LAV,12
LC,1
LD,28
LDT,2
LGd,32
LGv,10
LH,19
LHA,16
LIN,1
LING,9
LM,2
LP,105
LPO,4
LRN,5
LSc,13
LSr,32
LSv,17
LT,0
MA,7
MA3,1
MARN,5
MD,23
MDRN,8
MEA,13
MEPO,1
MG,18
MH,16
MM,4
MOB,3
MOp,35
MOs,57
MPN,1
MPO,4
MPT,2
MRN,119
MS,5
MT,2
MV,24
NB,4
NDB,5
NI,6
NLL,8
NLOT,0
NOD,10
NOT,22
NPC,12
NR,0
NTB,0
NTS,21
OP,5
ORBl,8
ORBm,9
ORBvl,10
OT,20
P5,7
PA,18
PAA,5
PAG,54
PAR,10
PARN,21
PAS,2
PB,27
PBG,3
PC5,5
PCG,9
PCN,12
PDTg,2
PERI,7
PF,12
PFL,8
PG,4
PGRN,13
PH,10
PIL,7
PIR,33
PL,20
PMd,1
PMv,1
PN,0
PO,66
POL,26
POST,26
PP,4
PPN,19
PPT,13
PPY,0
PR,6
PRE,11
PRM,17
PRNc,11
PRNr,28
PRP,9
PS,2
PSTN,3
PSV,7
PT,2
PVH,2
PVHd,5
PVT,12
PVa,0
PVi,1
PVp,2
PVpo,0
PYR,6
Pa4,1
Pa5,2
PeF,5
PoT,33
ProS,30
RCH,0
RE,3
RH,3
RL,1
RM,1
RN,24
RO,1
RPA,0
RPF,4
RPO,0
RR,7
RSPagl,37
RSPd,38
RSPv,35
RT,25
SAG,4
SBPV,0
SCH,0
SCm,68
SCs,28
SF,12
SFO,2
SG,0
SGN,18
SH,2
SI,27
SIM,23
SLC,0
SLD,0
SMT,6
SNc,9
SNr,22
SO,0
SOC,9
SPA,7
SPF,27
SPIV,18
SPVC,5
SPVI,16
SPVO,8
SSp-bfd,35
SSp-ll,15
SSp-m,13
SSp-n,9
SSp-tr,19
SSp-ul,17
SSp-un,9
SSs,15
STN,4
SUB,40
SUM,5
SUT,14
SUV,13
SubG,1
TEa,11
TM,0
TR,8
TRN,10
TRS,8
TTd,13
TTv,1
TU,1
UVU,10
V,10
VAL,12
VCO,6
VI,0
VII,6
VISC,6
VISa,72
VISal,5
VISam,33
VISl,13
VISli,9
VISp,67
VISpl,13
VISpm,28
VISpor,6
VISrl,9
VLPO,1
VM,20
VMH,4
VMPO,0
VPL,25
VPLpc,15
VPM,46
VPMpc,10
VTA,8
VTN,2
VeCB,6
XII,2
Xi,1
ZI,52
